Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26
[2024/03/06 13:14:10] 5G,register,33.836,103,100,-82,-15,-67,10,3,16,0/1,-71.5,-21.5,-92.9,-67.8,-16.1,-83.8,-73,-11.3,-84.3,-65.6,-11.1,-76.6,359918920049210,999991829903013
[2024/03/06 13:14:10] Wi-Fi,link,11.906,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,206.4,4,5,-110,-66,-67,-70,44,43,40,44,,,,,,
[2024/03/06 13:14:11] 5G,register,31.804,103,100,-80,-12,-68,12,2,16,0/1,-68.7,-15.8,-84.4,-63.4,-18.4,-81.7,-73.1,-11.4,-84.4,-70.5,-11.3,-81.8,359918920049210,999991829903013
[2024/03/06 13:14:11] Wi-Fi,link,16.71,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,206.4,4,5,-110,-64,-68,-66,46,42,44,46,,,,,,
[2024/03/06 13:14:13] 5G,register,32.682,103,100,-79,-11,-68,12,2,16,0/4,-70,-11.4,-81.3,-62,-16.2,-78.1,-70.3,-11.1,-81.4,-76,-11.8,-87.7,359918920049210,999991829903013
[2024/03/06 13:14:13] Wi-Fi,link,14.844,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,206.4,4,5,-110,-63,-66,-65,47,44,45,47,,,,,,
[2024/03/06 13:14:14] 5G,register,32.981,103,100,-81,-14,-66,10,3,16,0/4,-65.6,-15,-80.6,-62.7,-11.3,-73.9,-72.4,-12,-84.4,-70.5,-11.2,-81.7,359918920049210,999991829903013
[2024/03/06 13:14:14] Wi-Fi,link,16.232,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,206.4,4,6,-110,-63,-65,-67,47,45,43,47,,,,,,
[2024/03/06 13:14:16] 5G,register,33.11,103,100,-78,-12,-65,10,3,16,0/4,-67.6,-13.1,-80.6,-62.9,-14.5,-77.4,-68.8,-11.2,-80,-75.5,-12.4,-87.9,359918920049210,999991829903013
[2024/03/06 13:14:16] Wi-Fi,link,15.614,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,206.4,4,6,-110,-62,-64,-67,48,46,43,48,,,,,,
[2024/03/06 13:14:17] 5G,register,34.207,103,100,-76,-11,-64,11,3,16,0/4,-67.6,-12.9,-80.4,-64.9,-12.6,-77.4,-71.8,-11.1,-82.9,-65.6,-11.1,-76.7,359918920049210,999991829903013
[2024/03/06 13:14:17] Wi-Fi,link,16.903,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,206.4,4,6,-110,-61,-62,-67,49,48,43,49,,,,,,
[2024/03/06 13:14:18] 5G,register,33.254,103,100,-77,-11,-65,10,3,16,0/12,-68.6,-10.7,-79.2,-62.4,-20,-82.4,-68.6,-11.1,-79.7,-66.2,-11,-77.1,359918920049210,999991829903013
[2024/03/06 13:14:18] Wi-Fi,link,16.268,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,206.4,4,6,-110,-62,-64,-69,48,46,41,48,,,,,,
[2024/03/06 13:14:20] 5G,register,32.803,103,100,-80,-11,-69,11,3,16,0/12,-68.7,-11.8,-80.4,-65,-14.3,-79.3,-72.9,-11.8,-84.7,-66.2,-11.2,-77.3,359918920049210,999991829903013
[2024/03/06 13:14:20] Wi-Fi,link,17.577,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,206.4,4,6,-110,-63,-64,-67,47,46,43,47,,,,,,
[2024/03/06 13:14:21] 5G,register,33.033,103,100,-76,-10,-65,11,3,16,0/12,-67.4,-15.1,-82.4,-64.9,-12.9,-77.7,-67.1,-11.1,-78.2,-71.7,-11.5,-83.2,359918920049210,999991829903013
[2024/03/06 13:14:21] Wi-Fi,link,17.199,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,206.4,4,6,-110,-59,-59,-64,51,51,46,51,,,,,,
[2024/03/06 13:14:23] 5G,register,31.213,103,100,-75,-12,-63,11,3,16,0/12,-65.7,-11.4,-77.1,-62.1,-16,-78,-73.6,-11.1,-84.7,-69.3,-11.2,-80.5,359918920049210,999991829903013
[2024/03/06 13:14:23] Wi-Fi,link,19.353,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,206.4,4,6,-110,-60,-61,-65,50,49,45,50,,,,,,
[2024/03/06 13:14:24] 5G,register,23.268,103,100,-82,-14,-67,11,3,16,0/12,-70.5,-13.7,-84.1,-65.8,-14.3,-80.1,-65.1,-11.3,-76.4,-68.8,-11.1,-79.8,359918920049210,999991829903013
[2024/03/06 13:14:24] Wi-Fi,link,15.07,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,206.4,4,6,-110,-60,-63,-64,50,47,46,50,,,,,,
[2024/03/06 13:14:26] 5G,register,42.64,103,100,-78,-12,-65,11,3,16,0/12,-65.6,-10.3,-75.9,-61.9,-16.5,-78.3,-67.6,-11,-78.6,-73.3,-11.2,-84.5,359918920049210,999991829903013
[2024/03/06 13:14:26] Wi-Fi,link,14.685,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,206.4,4,6,-110,-62,-65,-64,48,45,46,48,,,,,,
[2024/03/06 13:14:27] 5G,register,32.965,103,100,-80,-15,-65,11,3,16,0/12,-73.9,-16,-89.8,-66.4,-15.1,-81.4,-71.2,-11.4,-82.5,-72,-11,-83,359918920049210,999991829903013
[2024/03/06 13:14:27] Wi-Fi,link,17.247,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,206.4,4,7,-110,-60,-61,-68,50,49,42,50,,,,,,
[2024/03/06 13:14:29] 5G,register,37.842,103,100,-74,-12,-61,11,3,16,0/12,-68,-13.1,-81.1,-62.6,-11.7,-74.3,-74.7,-11.4,-86.1,-67.3,-11,-78.3,359918920049210,999991829903013
[2024/03/06 13:14:29] Wi-Fi,link,17.018,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,206.4,4,6,-110,-59,-61,-62,51,49,48,51,,,,,,
[2024/03/06 13:14:30] 5G,register,30.534,103,100,-77,-11,-66,11,3,16,0/18,-71.9,-11.9,-83.8,-65.6,-12.2,-77.8,-67.8,-10.9,-78.7,-69.1,-11.1,-80.1,359918920049210,999991829903013
[2024/03/06 13:14:30] Wi-Fi,link,5.256,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,137.6,3,6,-110,-62,-64,-67,48,46,43,48,,,,,,
[2024/03/06 13:14:32] 5G,register,31.94,103,100,-79,-13,-66,11,3,16,0/18,-69.6,-10.4,-79.9,-66.7,-14,-80.7,-67.4,-11.1,-78.4,-72.1,-11.5,-83.6,359918920049210,999991829903013
[2024/03/06 13:14:32] Wi-Fi,link,15.681,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,206.4,4,6,-110,-58,-59,-62,52,51,48,52,,,,,,
[2024/03/06 13:14:33] 5G,register,28.525,103,100,-71,-11,-60,11,3,16,0/18,-66.7,-11.1,-77.8,-62.4,-13.1,-75.4,-63.2,-11,-74.2,-66,-11.1,-77.1,359918920049210,999991829903013
[2024/03/06 13:14:33] Wi-Fi,link,16.587,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,206.4,4,7,-110,-58,-60,-66,52,50,44,52,,,,,,
[2024/03/06 13:14:35] 5G,register,33.195,103,100,-77,-14,-63,11,3,16,0/18,-75.7,-16.2,-91.9,-60.8,-11.4,-72.2,-65.6,-11,-76.6,-72.5,-11.3,-83.8,359918920049210,999991829903013
[2024/03/06 13:14:35] Wi-Fi,link,17.197,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,275.2,5,7,-110,-55,-53,-63,55,57,47,55,,,,,,
[2024/03/06 13:14:36] 5G,register,33.065,103,100,-72,-10,-61,11,3,16,0/11,-69,-12.6,-81.5,-64.4,-13.3,-77.6,-65,-11,-76,-72.6,-11.3,-83.8,359918920049210,999991829903013
[2024/03/06 13:14:36] Wi-Fi,link,16.352,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,206.4,4,7,-110,-55,-56,-62,55,54,48,55,,,,,,
[2024/03/06 13:14:38] 5G,register,33.287,103,100,-79,-14,-65,11,3,16,0/17,-66.6,-11.5,-78,-63.6,-13.2,-76.7,-72.9,-11.3,-84.2,-62.1,-10.9,-72.9,359918920049210,999991829903013
[2024/03/06 13:14:38] Wi-Fi,link,12.595,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,206.4,4,8,-110,-57,-59,-60,53,51,50,53,,,,,,
[2024/03/06 13:14:39] 5G,register,25.976,103,100,-75,-12,-63,11,3,16,0/17,-64.5,-12.8,-77.2,-65.8,-11.7,-77.5,-71.4,-11.5,-82.9,-61.2,-10.9,-72,359918920049210,999991829903013
[2024/03/06 13:14:39] Wi-Fi,link,15.471,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,206.4,4,7,-110,-55,-58,-57,55,52,53,55,,,,,,
[2024/03/06 13:14:40] 5G,register,32.205,103,100,-74,-14,-60,14,1,16,0/17,-64.5,-10.6,-75,-59.6,-10.5,-70,-64.8,-11,-75.8,-63.1,-11,-74.1,359918920049210,999991829903013
[2024/03/06 13:14:41] Wi-Fi,link,6.059,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,275.2,5,7,-110,-53,-53,-58,57,57,52,57,,,,,,
[2024/03/06 13:14:42] 5G,register,28.005,103,100,-75,-12,-62,12,1,16,0/17,-67.8,-13.6,-81.4,-63.3,-12.7,-75.9,-69.9,-11.6,-81.5,-66.6,-11.1,-77.7,359918920049210,999991829903013
[2024/03/06 13:14:42] Wi-Fi,link,16.82,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,275.2,5,7,-110,-52,-57,-54,58,53,56,58,,,,,,
[2024/03/06 13:14:43] 5G,register,31.018,103,100,-71,-11,-60,13,1,16,0/14,-67.1,-11.5,-78.6,-62.7,-11.2,-73.8,-65.3,-11.1,-76.3,-72.4,-11.3,-83.6,359918920049210,999991829903013
[2024/03/06 13:14:44] Wi-Fi,link,29.592,UIWANG_OLT_AGV,80:03:84:b6:f9:a0,44,5220,40,40,299.4,6,8,-110,-51,-50,-57,59,60,53,59,,,,,,
